id_aluno;horas_estudo_semana;frequencia_percentual;atividades_entregues;media_exercicios;participacao_aulas;acessos_plataforma_semana;faltas_mes;situacao_final
A001;62;817;9;71;6;6;1;Desempenho_satisfatorio
A002;25;779;7;51;6;11;4;Precisa_atencao
A003;32;942;10;68;4;3;1;Desempenho_satisfatorio
A004;104;726;7;61;8;22;2;Desempenho_satisfatorio
A005;40;845;8;60;7;3;2;Desempenho_satisfatorio
A006;117;723;6;27;4;7;4;Precisa_atencao
A007;49;692;6;45;2;6;5;Precisa_atencao
A008;;832;7;38;7;4;2;Precisa_atencao
A009;58;814;9;79;8;10;2;Desempenho_satisfatorio
A010;69;889;8;24;5;10;1;Desempenho_satisfatorio
A011;34;660;4;40;7;4;6;Precisa_atencao
A012;68;819;9;45;4;7;1;Desempenho_satisfatorio
A013;82;825;9;58;8;11;2;Desempenho_satisfatorio
A014;93;724;8;56;7;7;4;Precisa_atencao
A015;63;918;9;80;6;;2;Precisa_atencao
A016;29;727;9;48;6;5;2;Precisa_atencao
A017;50;796;7;27;5;13;3;Desempenho_satisfatorio
A018;74;854;8;50;0;8;4;Precisa_atencao
A019;34;835;10;73;6;3;4;Desempenho_satisfatorio
A020;76;898;10;38;10;7;3;Desempenho_satisfatorio
A021;118;873;10;74;9;21;2;Desempenho_satisfatorio
A022;42;847;7;24;3;11;2;Precisa_atencao
A023;68;550;6;56;6;6;8;Precisa_atencao
A024;78;710;6;43;3;4;5;Precisa_atencao
A025;94;918;10;55;5;7;2;Desempenho_satisfatorio
A026;;717;5;58;5;7;5;Precisa_atencao
A027;48;949;10;65;7;4;0;Desempenho_satisfatorio
A028;50;822;5;15;6;8;5;Precisa_atencao
A029;97;803;10;61;4;7;2;Desempenho_satisfatorio
A030;128;852;10;70;7;7;2;Desempenho_satisfatorio
A031;72;623;5;16;4;6;6;Precisa_atencao
A032;54;814;7;48;3;7;3;Desempenho_satisfatorio
A033;51;1000;10;52;6;6;0;Precisa_atencao
A034;58;953;10;43;9;4;1;Desempenho_satisfatorio
A035;60;754;6;61;3;14;6;Desempenho_satisfatorio
A036;81;965;10;77;6;4;1;Desempenho_satisfatorio
A037;8;652;8;23;6;6;4;Precisa_atencao
A038;55;794;7;61;6;8;1;Desempenho_satisfatorio
A039;53;781;3;33;6;4;4;Precisa_atencao
A040;62;852;9;47;5;;1;Desempenho_satisfatorio
A041;77;832;10;62;8;14;2;Desempenho_satisfatorio
A042;85;795;8;65;4;7;4;Desempenho_satisfatorio
A043;87;776;8;51;7;14;4;Desempenho_satisfatorio
A044;84;763;7;57;6;8;6;Desempenho_satisfatorio
A045;23;790;8;17;3;4;3;Precisa_atencao
A046;35;801;7;52;4;6;1;Precisa_atencao
A047;75;716;5;47;8;13;4;Precisa_atencao
A048;5;908;9;61;5;0;1;Desempenho_satisfatorio
A049;;849;10;59;9;11;3;Desempenho_satisfatorio
A050;71;1000;10;69;10;12;0;Desempenho_satisfatorio
A051;48;895;9;56;8;8;2;Desempenho_satisfatorio
A052;64;837;8;34;6;8;3;Desempenho_satisfatorio
A053;118;874;10;48;7;17;2;Desempenho_satisfatorio
A054;40;901;10;77;4;8;1;Desempenho_satisfatorio
A055;65;744;4;48;7;7;4;Precisa_atencao
A056;63;864;9;51;5;9;4;Desempenho_satisfatorio
A057;71;847;9;61;8;6;1;Desempenho_satisfatorio
A058;58;726;8;50;6;10;4;Desempenho_satisfatorio
A059;70;983;10;39;6;11;0;Desempenho_satisfatorio
A060;43;812;5;43;6;8;4;Precisa_atencao
A061;51;854;6;9;6;6;4;Precisa_atencao
A062;49;950;10;68;5;7;1;Desempenho_satisfatorio
A063;33;810;9;48;4;6;3;Precisa_atencao
A064;20;846;7;73;6;3;3;Desempenho_satisfatorio
A065;52;895;9;56;5;;2;Precisa_atencao
A066;94;746;9;74;4;2;4;Desempenho_satisfatorio
A067;102;801;10;75;6;10;4;Desempenho_satisfatorio
A068;37;715;5;17;2;2;4;Precisa_atencao
A069;82;997;10;58;5;7;0;Desempenho_satisfatorio
A070;92;766;7;50;2;8;4;Precisa_atencao
A071;75;708;6;60;4;12;4;Desempenho_satisfatorio
A072;33;644;7;49;3;5;5;Precisa_atencao
A073;79;903;10;67;9;13;1;Desempenho_satisfatorio
A074;75;690;6;60;6;8;5;Precisa_atencao
A075;6;982;10;66;6;1;1;Desempenho_satisfatorio
A076;79;909;9;60;5;10;1;Desempenho_satisfatorio
A077;;898;9;86;3;1;2;Desempenho_satisfatorio
A078;5;812;9;55;5;0;2;Precisa_atencao
A079;38;953;10;56;6;4;0;Precisa_atencao
A080;79;936;9;65;5;12;0;Desempenho_satisfatorio
A081;48;1000;10;70;6;6;0;Desempenho_satisfatorio
A082;60;688;5;43;3;11;5;Precisa_atencao
A083;84;705;7;40;8;10;6;Precisa_atencao
A084;72;960;10;73;4;9;2;Desempenho_satisfatorio
A085;127;939;10;95;8;12;1;Desempenho_satisfatorio
A086;38;1000;9;47;7;4;1;Precisa_atencao
A087;5;715;3;15;4;2;5;Precisa_atencao
A088;84;826;8;54;5;15;3;Desempenho_satisfatorio
A089;81;752;6;57;2;;3;Precisa_atencao
A090;64;992;10;69;6;5;0;Desempenho_satisfatorio
A091;66;767;6;51;5;7;4;Precisa_atencao
A092;79;762;5;44;7;16;5;Desempenho_satisfatorio
A093;56;860;9;46;5;5;2;Desempenho_satisfatorio
A094;80;754;7;57;3;5;5;Precisa_atencao
A095;90;763;8;69;8;18;5;Desempenho_satisfatorio
A096;5;806;7;43;8;8;3;Precisa_atencao
A097;35;753;7;45;7;2;4;Precisa_atencao
A098;45;700;8;37;3;5;5;Precisa_atencao
A099;72;754;6;32;4;10;3;Precisa_atencao
A100;70;655;5;29;7;9;6;Precisa_atencao
A101;70;912;8;62;2;14;3;Desempenho_satisfatorio
A102;;873;9;19;5;8;2;Desempenho_satisfatorio
A103;30;711;9;39;4;4;3;Precisa_atencao
A104;58;777;8;23;4;5;5;Precisa_atencao
A105;81;710;6;27;5;9;4;Precisa_atencao
A106;28;1000;10;54;7;6;0;Precisa_atencao
A107;68;780;10;60;7;8;2;Desempenho_satisfatorio
A108;32;768;7;7;4;5;4;Precisa_atencao
A109;14;720;4;20;4;6;6;Precisa_atencao
A110;95;849;10;65;8;8;2;Desempenho_satisfatorio
A111;136;728;8;50;7;9;6;Precisa_atencao
A112;60;671;6;54;3;7;4;Precisa_atencao
A113;31;818;7;29;4;9;3;Precisa_atencao
A114;14;670;5;18;6;3;5;Precisa_atencao
A115;85;821;4;51;5;11;4;Precisa_atencao
A116;49;923;10;40;1;3;2;Precisa_atencao
A117;77;940;10;66;7;13;1;Desempenho_satisfatorio
A118;41;841;10;46;4;5;2;Desempenho_satisfatorio
A119;91;941;9;75;6;15;2;Desempenho_satisfatorio
A120;12;744;4;50;5;7;6;Precisa_atencao
A121;85;798;9;64;7;5;4;Precisa_atencao
A122;84;902;10;83;6;;0;Desempenho_satisfatorio
A123;90;686;9;51;4;9;5;Precisa_atencao
A124;104;846;9;46;4;10;3;Desempenho_satisfatorio
A125;6;864;9;28;3;2;2;Precisa_atencao
A126;59;800;6;40;5;5;3;Precisa_atencao
A127;17;916;8;31;4;4;0;Precisa_atencao
A128;70;879;10;54;5;7;2;Desempenho_satisfatorio
A129;90;930;10;57;8;12;3;Desempenho_satisfatorio
A130;69;805;7;42;7;12;5;Precisa_atencao
A131;74;935;10;84;7;4;0;Desempenho_satisfatorio
A132;75;828;7;61;8;5;3;Desempenho_satisfatorio
A133;5;565;3;15;0;3;8;Precisa_atencao
A134;;912;10;63;7;10;0;Desempenho_satisfatorio
A135;51;1000;10;50;5;5;0;Desempenho_satisfatorio
A136;69;822;8;39;0;12;3;Precisa_atencao
A137;29;754;5;37;4;4;6;Precisa_atencao
A138;31;831;7;24;3;2;3;Precisa_atencao
A139;74;799;6;55;8;13;5;Precisa_atencao
A140;60;761;5;37;7;4;4;Desempenho_satisfatorio
A141;89;922;9;94;9;12;1;Desempenho_satisfatorio
A142;27;832;5;21;5;1;1;Precisa_atencao
A143;88;803;9;56;5;12;3;Desempenho_satisfatorio
A144;86;848;10;50;6;6;2;Desempenho_satisfatorio
A145;61;915;9;62;5;3;2;Desempenho_satisfatorio
A146;62;834;9;69;5;9;3;Desempenho_satisfatorio
A147;28;828;9;73;8;4;2;Desempenho_satisfatorio
A148;57;821;10;62;7;5;4;Desempenho_satisfatorio
